Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-12-15 00:00:00-05:00,24.652256829472332,24.85268202707426,23.683537023256036,24.102203369140625,268872400,0.0,0.0
2014-12-16 00:00:00-05:00,23.68799981651176,24.53201164948575,23.66350330085375,23.77262306213379,243162800,0.0,0.0
2014-12-17 00:00:00-05:00,23.855023691594646,24.460751005802752,23.788214694920477,24.364994049072266,213647200,0.0,0.0
2014-12-18 00:00:00-05:00,24.91281602344491,25.086517333984375,24.643356080297416,25.086517333984375,236024800,0.0,0.0
2014-12-19 00:00:00-05:00,24.99966095708665,25.217900405346587,24.86604472563857,24.89276695251465,353719200,0.0,0.0
2014-12-22 00:00:00-05:00,24.977398839427394,25.273581030443268,24.93508636970097,25.151100158691406,180670000,0.0,0.0
2014-12-23 00:00:00-05:00,25.215678974909334,25.237948067434832,25.04420339451499,25.06201934814453,104113600,0.0,0.0
2014-12-24 00:00:00-05:00,25.07092448197511,25.099874129073154,24.943988800048828,24.943988800048828,57918400,0.0,0.0
2014-12-26 00:00:00-05:00,24.96402619755804,25.502945898806207,24.94398452969571,25.384918212890625,134884000,0.0,0.0
2014-12-29 00:00:00-05:00,25.34038918092505,25.558628682917135,25.320345806810604,25.36711311340332,110395600,0.0,0.0
2014-12-30 00:00:00-05:00,25.306983954566096,25.369338096180158,24.966261895730018,25.057565689086914,119526000,0.0,0.0
2014-12-31 00:00:00-05:00,25.12436628170827,25.193400958446546,24.543134128656213,24.580991744995117,165613600,0.0,0.0
2015-01-02 00:00:00-05:00,24.805917678201215,24.81705307269228,23.90623251185277,24.34716796875,212818400,0.0,0.0
2015-01-05 00:00:00-05:00,24.115570620142528,24.195740719586887,23.474211523610663,23.661273956298828,257142000,0.0,0.0
2015-01-06 00:00:00-05:00,23.725853972316052,23.92405178884312,23.300506989170014,23.66349983215332,263188400,0.0,0.0
2015-01-07 00:00:00-05:00,23.872834880634,24.095529242203433,23.761487699849283,23.995317459106445,160423600,0.0,0.0
2015-01-08 00:00:00-05:00,24.324902711486303,24.975169755287546,24.206873287961027,24.917268753051758,237458000,0.0,0.0
2015-01-09 00:00:00-05:00,25.090966153268525,25.22012925390163,24.543138383953913,24.943988800048828,214798000,0.0,0.0
2015-01-12 00:00:00-05:00,25.075380895977165,25.082061453947656,24.229143472265044,24.329355239868164,198603200,0.0,0.0
2015-01-13 00:00:00-05:00,24.814830045881223,25.11992189929338,24.2536410640754,24.54537010192871,268367600,0.0,0.0
2015-01-14 00:00:00-05:00,24.282598847851787,24.605505065103664,24.162343661689587,24.451847076416016,195826400,0.0,0.0
